user_id,orders_per_customer
14126,4
57533,4
9611,4
91819,4
95839,4
48197,4
17366,4
85366,4
63020,4
60924,4
49517,4
86319,4
50265,4
38331,4
26644,3
44360,3
89632,3
61144,3
42078,3
55632,3
31204,3
54644,3
47421,3
31510,3
59615,3
1227,3
5901,3
71857,3
90787,3
67106,3
87541,3
94847,3
62716,3
74919,3
70890,3
47403,3
56010,3
51369,3
4561,3
48793,3
44256,3
27030,3
44655,3
76390,3
18453,3
89016,3
93330,3
98271,3
6340,3
4298,3
31395,3
32877,3
62309,3
68137,3
21471,3
71280,3
77056,3
93108,3
85442,3
70241,3
14528,3
85984,3
25398,3
18239,3
34809,3
92487,3
8584,3
60452,3
31640,3
5347,3
33916,3
27797,3
70048,3
54358,3
14942,3
3032,3
26183,3
97354,3
74589,3
92168,3
86279,3
70725,3
70024,3
17021,3
32280,3
92153,3
36176,3
4096,3
18293,3
46962,3
30262,3
44019,3
40630,3
68727,3
72016,3
89550,3
42607,3
1004,3
55881,3
33805,3
93648,3
54656,3
716,3
64274,3
56859,3
17505,3
99255,3
82283,3
92747,3
63632,3
37164,3
28242,3
37591,3
49317,3
84349,3
2705,3
5286,3
90782,3
8664,3
14763,3
27861,3
41174,3
59224,3
73806,3
77563,3
83297,3
91847,3
78031,3
39108,3
49403,3
77693,3
78664,3
85227,3
64830,3
22649,3
37650,3
82956,3
62074,3
97290,3
45169,3
52259,3
89089,3
90464,3
76037,3
73847,3
35410,3
73920,3
38481,3
36102,3
42631,3
58144,3
3830,3
36977,3
812,3
21419,3
75385,3
59493,3
97842,3
65668,3
14350,3
7524,3
16625,3
29180,3
35431,3
17619,3
58760,3
43213,3
81350,3
65203,3
27132,3
89959,3
3488,3
58827,3
68072,3
74743,3
28340,3
21465,3
92171,3
95635,3
62531,3
5106,3
48490,3
13351,3
43613,3
27878,3
39143,3
71219,3
72972,3
81718,3
15657,3
30759,3
39976,3
2459,3
80081,3
95102,3
7785,3
13085,3
40632,3
43073,3
74517,3
75151,3
80848,3
13367,3
20496,3
24476,3
32602,3
36066,3
40082,3
42274,3
57668,3
65491,3
47876,3
70957,3
75660,3
82190,3
82237,3
12576,3
93005,3
94100,3
43999,3
144,3
98817,3
72927,3
30766,3
75535,3
86086,3
83086,3
78249,3
77614,3
99768,3
67743,3
84407,3
88462,3
55595,3
11562,3
42374,3
75038,3
8176,3
38944,3
15510,3
40476,3
54263,3
66273,3
46553,3
25413,3
6479,3
88278,3
60680,3
62899,3
74977,3
26687,3
74250,3
73157,3
69645,3
10537,3
88587,3
57020,3
56733,3
5138,3
22323,3
41918,3
70380,3
82487,3
1586,3
19536,3
31260,3
50752,3
47931,3
58786,3
51785,3
43891,3
58199,3
71126,3
14301,3
93498,3
89454,3
67349,3
28337,3
34059,3
86532,3
77763,3
24777,3
88435,3
76701,3
82041,3
89799,3
82993,3
57709,3
7051,3
85358,3
78253,3
25861,3
18729,3
64907,3
58036,3
7122,3
22298,3
94839,3
45942,3
