user_id,revenue
24275,1260.53
81964,1188.45
61229,1165.5
71197,1163.95
70147,1106.32
85725,1089.99
77948,1072.95
12340,1062.99
17333,1029.97
6020,1029.0
99934,1007.99
9224,999.0
20171,990.0
53268,982.14
2016,977.99
58777,972.99
58842,965.0
38995,959.98
49052,942.94
66996,927.99
18319,927.99
85975,923.85
17438,921.95
9037,911.98
50096,911.0
283,909.99
97268,908.0
95938,903.0
61480,903.0
84887,903.0
93284,903.0
4734,903.0
7285,903.0
82489,903.0
78292,903.0
9859,903.0
77675,903.0
12176,903.0
13403,903.0
17053,903.0
64509,903.0
18993,903.0
53517,903.0
34006,903.0
89785,903.0
38867,903.0
39054,903.0
90057,903.0
43456,903.0
64120,903.0
45737,903.0
52354,903.0
58369,903.0
96834,892.44
6837,886.97
97998,875.64
31151,834.99
39867,833.5
31172,832.97
11163,830.52
2148,825.67
64960,825.0
44211,817.99
26103,811.99
29777,804.26
17804,798.0
4934,796.93
91742,795.0
55298,795.0
73068,795.0
77342,788.98
36371,786.68
75488,786.44
9565,783.89
41536,783.39
43960,779.96
21605,766.38
73840,763.46
85890,759.99
89377,758.0
18882,758.0
56054,751.98
16723,750.0
10975,749.99
70805,744.5
27364,737.89
98277,733.95
93213,733.0
16985,731.38
23700,730.54
29539,711.1
323,707.99
16822,704.5
47748,703.45
39197,699.0
76496,698.44
56548,698.0
87796,698.0
90258,696.5
37994,695.48
15,695.0
96626,691.0
47817,684.95
28188,684.39
12421,683.44
59006,677.97
75993,669.94
51411,664.25
19731,662.99
49439,650.0
31696,650.0
13981,648.98
27234,645.0
85763,644.77
31206,640.93
85474,636.99
19494,634.45
39249,630.97
88654,629.97
29161,629.95
57306,628.61
19233,627.98
60119,625.85
75306,623.0
16035,622.0
76116,620.93
41703,620.55
62556,618.0
10185,618.0
13576,615.89
56713,615.0
33304,613.99
11096,613.72
83758,612.0
17757,609.58
77847,609.56
79854,609.55
93894,604.43
61513,602.95
74398,602.59
51077,600.83
86757,600.0
71593,600.0
26683,599.5
38825,599.0
45450,598.0
15840,598.0
26861,598.0
53114,598.0
53776,598.0
47959,596.99
86888,595.0
4297,594.98
91199,592.98
87802,588.94
19179,586.03
20145,584.72
69685,583.24
57452,574.08
21252,572.95
29010,571.98
3325,571.24
87645,571.0
55611,569.88
57173,568.49
59680,568.27
66444,568.25
2620,567.85
76657,566.69
53296,565.66
29271,565.45
81454,564.04
13092,563.95
64367,561.94
18868,561.69
13746,559.43
89481,556.75
16090,553.0
78827,548.07
42791,546.87
61067,546.45
73249,545.99
8338,544.0
32428,543.64
59828,542.98
77893,541.99
19993,541.83
56214,540.95
30608,538.88
12344,537.94
81361,537.73
45227,536.95
66486,536.39
78340,535.49
72648,535.48
55877,535.45
99502,533.55
17306,532.99
23355,532.49
88843,531.99
31667,530.49
9133,529.94
80256,528.94
